Table of Peaks
No.	(ppm)	Height
1	1.15	0.2380
2	1.16	0.2393
3	1.34	0.9894
4	1.35	1.0000
5	1.39	0.0022
6	1.40	0.0038
7	1.41	0.0052
8	1.41	0.0026
9	1.42	0.0053
10	1.42	0.0117
11	1.43	0.0061
12	1.43	0.0200
13	1.44	0.0258
14	1.44	0.0154
15	1.45	0.0380
16	1.45	0.0165
17	1.46	0.0290
18	1.46	0.0193
19	1.46	0.0164
20	1.47	0.0181
21	1.48	0.0023
22	1.48	0.0056
23	1.49	0.0061
24	1.50	0.0058
25	1.50	0.0299
26	1.51	0.0340
27	1.52	0.0616
28	1.53	0.0423
29	1.53	0.0717
30	1.54	0.0515
31	1.54	0.0418
32	1.54	0.0750
33	1.55	0.0580
34	1.55	0.0811
35	1.56	0.0175
36	1.56	0.0441
37	1.57	0.0430
38	1.57	0.0134
39	1.57	0.0096
40	1.58	0.0071
41	1.59	0.0055
42	1.59	0.0070
43	1.59	0.0135
44	1.60	0.0060
45	1.60	0.0161
46	1.60	0.0089
47	1.61	0.0129
48	1.61	0.0138
49	1.62	0.0131
50	1.62	0.0086
51	1.63	0.0051
52	1.63	0.0109
53	1.63	0.0038
54	1.64	0.0047
55	1.64	0.0036
56	1.65	0.0022
57	1.80	0.0096
58	1.81	0.0103
59	1.81	0.0098
60	1.82	0.0105
61	1.82	0.0073
62	1.82	0.0122
63	1.83	0.0359
64	1.83	0.0183
65	1.83	0.0320
66	1.84	0.0392
67	1.84	0.0372
68	1.84	0.0347
69	1.85	0.0380
70	1.85	0.0370
71	1.85	0.0809
72	1.86	0.0392
73	1.86	0.0408
74	1.86	0.0808
75	1.86	0.0575
76	1.87	0.0747
77	1.87	0.0615
78	1.88	0.0471
79	1.88	0.0499
80	1.88	0.0581
81	1.89	0.0144
82	1.89	0.0370
83	1.90	0.0190
84	1.90	0.0088
85	1.90	0.0141
86	1.91	0.0067
87	1.94	0.0267
88	1.94	0.0285
89	1.95	0.0315
90	1.95	0.0570
91	1.95	0.0479
92	1.96	0.0481
93	1.96	0.0493
94	1.96	0.0244
95	1.96	0.0237
96	1.97	0.0411
97	1.97	0.0277
98	1.97	0.0278
99	1.97	0.0518
100	1.97	0.0410
101	1.98	0.0405
102	1.98	0.0445
103	1.98	0.0461
104	1.98	0.0226
105	1.99	0.0207
106	1.99	0.0190
107	2.17	0.0720
108	2.18	0.1393
109	2.19	0.0617
110	2.44	0.0542
111	2.45	0.0546
112	2.46	0.0542
113	2.47	0.0499
114	2.47	0.0879
115	2.48	0.0863
116	2.49	0.0871
117	2.50	0.0778
118	2.58	0.0442
119	2.58	0.0456
120	2.59	0.0484
121	2.59	0.0545
122	2.59	0.0480
123	2.59	0.0457
124	2.60	0.0432
125	2.60	0.0433
126	2.61	0.0295
127	2.61	0.0296
128	2.62	0.0307
129	2.62	0.0343
130	2.62	0.0305
131	2.62	0.0288
132	2.63	0.0270
133	2.63	0.0269
134	3.80	0.0025
135	3.81	0.0152
136	3.82	0.0268
137	3.84	0.0259
138	3.85	0.0139
139	3.86	0.0026
140	4.56	0.0064
141	4.57	0.0072
142	4.57	0.0284
143	4.58	0.0317
144	4.58	0.0316
145	4.59	0.0346
146	4.59	0.0363
147	4.60	0.0325
148	4.60	0.0323
149	4.61	0.0301
150	4.61	0.0081
151	4.62	0.0069

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	J (Hz)	Atom1		Multiplet1	 (ppm)
1	1.16		3	d	6.27	7		M10		1.14 .. 1.18
2	1.35		3	d	6.38	15		M09		1.32 .. 1.37
3	1.54		4	m	-	3 11 4		M08		1.38 .. 1.66
4	1.86		2	m	-	12		M07		1.80 .. 1.92
5	1.96		1	m	-	11		M06		1.94 .. 2.00
6	2.18		2	t	7.40	5		M05		2.16 .. 2.20
7	2.45		0	m	-	13		M04		2.43 .. 2.51
8	2.58		1	m	-	13		M03		2.57 .. 2.64
9	3.80		0	sxt	-	2		M02		3.80 .. 3.86
10	4.56		1	m	-	10		M01		4.56 .. 4.62

Table of Assignments
No.	Atom	Exp. Shift (ppm)		Multiplet
1	7	1.16			M10
2	15	1.35			M09
3	3	1.54			M08
4	11	1.54			M08
5	4	1.54			M08
6	12	1.86			M07
7	11	1.96			M06
8	5	2.18			M05
9	13	2.45			M04
10	13	2.58			M03
11	2	3.80			M02
12	10	4.56			M01

