Table of Peaks
No.	(ppm)	Height
1	0.53	0.0239
2	0.98	0.0008
3	0.98	0.0010
4	1.00	0.0021
5	1.01	0.0021
6	1.02	0.0012
7	1.03	0.0011
8	1.14	0.0355
9	1.15	0.0013
10	1.16	0.0021
11	1.17	0.0007
12	1.19	0.0013
13	1.21	0.0013
14	1.23	0.0005
15	1.23	0.0003
16	1.23	0.0005
17	1.29	0.0011
18	1.29	0.0012
19	1.29	0.0012
20	1.30	0.0010
21	1.30	0.0010
22	1.31	0.0021
23	1.31	0.0020
24	1.31	0.0018
25	1.32	0.0017
26	1.33	0.0015
27	1.33	0.0012
28	1.34	0.0011
29	1.35	0.0006
30	1.36	0.0013
31	1.37	0.0013
32	1.38	0.0013
33	1.39	0.0013
34	1.40	0.0006
35	1.41	0.0006
36	1.41	0.0002
37	1.41	0.0004
38	1.42	0.0003
39	1.44	0.0009
40	1.44	0.0007
41	1.46	0.0010
42	1.46	0.0010
43	1.48	0.0006
44	1.49	0.0006
45	1.49	0.0006
46	1.50	0.0008
47	1.50	0.0010
48	1.51	0.0007
49	1.51	0.0008
50	1.52	0.0011
51	1.52	0.0012
52	1.52	0.0012
53	1.53	0.0006
54	1.58	0.0005
55	1.59	0.0013
56	1.59	0.0013
57	1.60	0.0009
58	1.60	0.0009
59	1.61	0.0019
60	1.61	0.0020
61	1.62	0.0016
62	1.62	0.0012
63	1.63	0.0009
64	1.63	0.0010
65	1.64	0.0010
66	1.64	0.0010
67	1.65	0.0021
68	1.66	0.0013
69	1.66	0.0022
70	1.67	0.0021
71	1.67	0.0023
72	1.68	0.0015
73	1.69	0.0027
74	1.70	0.0013
75	1.71	0.0007
76	1.78	0.0005
77	1.79	0.0006
78	1.80	0.0013
79	1.81	0.0014
80	1.82	0.0014
81	1.82	0.0013
82	1.84	0.0006
83	1.84	0.0010
84	1.85	0.0007
85	1.86	0.0007
86	1.86	0.0008
87	1.86	0.0009
88	1.87	0.0008
89	1.87	0.0008
90	1.88	0.0011
91	1.88	0.0007
92	1.88	0.0007
93	1.89	0.0005
94	1.89	0.0005
95	1.90	0.0007
96	1.91	0.0010
97	1.92	0.0006
98	1.92	0.0010
99	1.93	0.0017
100	1.94	0.0009
101	1.95	0.0006
102	1.95	0.0008
103	1.96	0.0053
104	1.98	0.0006
105	1.98	0.0052
106	2.47	0.0010
107	2.48	0.0003
108	2.49	0.0012
109	2.49	0.0025
110	2.50	0.0022
111	2.50	0.0021
112	2.51	0.0016
113	2.51	0.0013
114	2.52	0.0021
115	2.53	0.0019
116	2.53	0.0033
117	2.55	0.0029
118	2.68	0.0012
119	2.68	0.0013
120	2.70	0.0013
121	2.70	0.0022
122	2.71	0.0013
123	2.72	0.0011
124	2.73	0.0010
125	2.95	0.0027
126	2.97	0.0025
127	3.51	0.0005
128	3.51	0.0010
129	3.52	0.0008
130	3.52	0.0012
131	3.53	0.0021
132	3.54	0.0012
133	3.54	0.0009
134	3.55	0.0010
135	3.56	0.0005
136	4.19	0.0060
137	4.23	0.0067
138	4.58	0.0027
139	4.61	0.0021

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	Atom1			Multiplet1	 (ppm)
1	0.53		3	s	20			M12		0.51 .. 0.56
2	0.98		1	td	6			M11		0.96 .. 1.05
3	1.15		4	m	18 5			M10		1.11 .. 1.25
4	1.29		6	m	14 2a 13 3 15		M09		1.26 .. 1.55
5	1.58		3	m	5 12 3			M08		1.56 .. 1.73
6	1.78		4	m	8a 13 14 17		M07		1.76 .. 2.01
7	2.48		3	m	6 9a 7a		M06		2.45 .. 2.57
8	2.68		1	m	12			M05		2.66 .. 2.74
9	2.95		1	d	17			M04		2.93 .. 2.98
10	3.51		1	m	4			M03		3.49 .. 3.58
11	4.19		1	d	25			M02		4.17 .. 4.25
12	4.58		0	d	25			M01		4.56 .. 4.63

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	20	0.53		M12
2	6	0.98		M11
3	18	1.15		M10
4	5	1.15		M10
5	14	1.29		M09
6	2a	1.29		M09
7	13	1.29		M09
8	3	1.29		M09
9	15	1.29		M09
10	5	1.58		M08
11	12	1.58		M08
12	3	1.58		M08
13	8a	1.78		M07
14	13	1.78		M07
15	14	1.78		M07
16	17	1.78		M07
17	6	2.48		M06
18	9a	2.48		M06
19	7a	2.48		M06
20	12	2.68		M05
21	17	2.95		M04
22	4	3.51		M03
23	25	4.19		M02
24	25	4.58		M01

