Table of Peaks
No.	(ppm)	Height
1	0.84	0.0434
2	0.85	0.1013
3	0.86	0.0346
4	1.19	0.0008
5	1.20	0.0021
6	1.21	0.0037
7	1.21	0.0053
8	1.22	0.0085
9	1.22	0.0147
10	1.23	0.0201
11	1.23	0.0286
12	1.24	0.0271
13	1.24	0.0265
14	1.25	0.0214
15	1.25	0.0218
16	1.25	0.0219
17	1.26	0.0160
18	1.27	0.0081
19	1.27	0.0092
20	1.28	0.0066
21	1.29	0.0051
22	1.29	0.0058
23	1.30	0.0074
24	1.30	0.0048
25	1.30	0.0053
26	1.31	0.0069
27	1.31	0.0070
28	1.32	0.0067
29	1.32	0.0061
30	1.33	0.0064
31	1.34	0.0048
32	1.34	0.0047
33	1.35	0.0037
34	1.36	0.0024
35	1.36	0.0016
36	1.37	0.0012
37	1.37	0.0021
38	1.38	0.0037
39	1.38	0.0044
40	1.39	0.0053
41	1.39	0.0058
42	1.40	0.0046
43	1.40	0.0053
44	1.40	0.0041
45	1.41	0.0038
46	1.42	0.0020
47	1.42	0.0022
48	1.43	0.0011
49	1.52	0.0039
50	1.52	0.0042
51	1.53	0.0121
52	1.54	0.0121
53	1.54	0.0167
54	1.55	0.0170
55	1.56	0.0134
56	1.56	0.0124
57	1.57	0.0050
58	1.57	0.0046
59	1.84	0.0031
60	1.85	0.0049
61	1.85	0.0040
62	1.86	0.0050
63	1.86	0.0047
64	1.87	0.0075
65	1.87	0.0050
66	1.87	0.0049
67	1.88	0.0045
68	1.88	0.0058
69	1.89	0.0037
70	2.02	0.0081
71	2.02	0.0082
72	2.03	0.0224
73	2.03	0.0225
74	2.04	0.0218
75	2.04	0.0216
76	2.05	0.0074
77	2.05	0.0072
78	2.11	0.0028
79	2.11	0.0034
80	2.12	0.0033
81	2.13	0.0064
82	2.14	0.0054
83	2.14	0.0053
84	2.15	0.0185
85	2.15	0.0174
86	2.18	0.0375
87	2.18	0.0225
88	2.18	0.0237
89	2.20	0.0341
90	2.21	0.0052
91	2.22	0.0056
92	2.22	0.0049
93	2.23	0.0041
94	2.23	0.0044
95	2.23	0.0050
96	2.24	0.0038
97	2.25	0.0035
98	2.26	0.0028
99	2.44	0.0149
100	2.45	0.0167
101	2.47	0.0141
102	2.48	0.0128
103	2.58	0.0099
104	2.59	0.0105
105	2.60	0.0099
106	2.61	0.0099
107	3.86	0.0040
108	3.87	0.0110
109	3.88	0.0104
110	3.89	0.0038
111	4.21	0.0092
112	4.21	0.0154
113	4.22	0.0092
114	5.30	0.0103
115	5.30	0.0103
116	5.31	0.0101
117	5.31	0.0101
118	5.32	0.0153
119	5.32	0.0152
120	5.33	0.0152
121	5.34	0.0153
122	5.35	0.0047
123	5.35	0.0027
124	5.36	0.0098
125	5.36	0.0065
126	5.36	0.0060
127	5.37	0.0044
128	5.37	0.0053
129	5.37	0.0073
130	5.38	0.0120
131	5.39	0.0034
132	5.39	0.0056
133	5.43	0.0173
134	5.43	0.0176
135	5.44	0.0168
136	5.44	0.0172
137	5.45	0.0115
138	5.45	0.0117
139	5.46	0.0115
140	5.47	0.0116
141	5.49	0.0031
142	5.49	0.0056
143	5.50	0.0035
144	5.51	0.0107
145	5.51	0.0052
146	5.52	0.0044
147	5.52	0.0060
148	5.52	0.0065
149	5.52	0.0085
150	5.54	0.0026
151	5.54	0.0042

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	Atom1		Multiplet1	 (ppm)
1	0.84		3	t	25		M14		0.82 .. 0.88
2	1.19		8	m	21 22 23 24	M13		1.19 .. 1.44
3	1.52		2	m	11		M12		1.51 .. 1.58
4	1.84		1	m	2		M11		1.83 .. 1.90
5	2.02		2	m	10		M10		2.00 .. 2.07
6	2.11		5	m	5 12 7	M09		2.09 .. 2.27
7	2.44		1	dd	5		M08		2.43 .. 2.49
8	2.58		1	dd	3		M07		2.56 .. 2.62
9	3.86		1	m	17		M06		3.85 .. 3.91
10	4.21		1	m	1		M05		4.19 .. 4.24
11	5.30		1	ddd	15		M04		5.29 .. 5.34
12	5.35		1	m	9		M03		5.34 .. 5.40
13	5.43		1	ddd	16		M02		5.42 .. 5.47
14	5.49		1	m	8		M01		5.48 .. 5.55

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	25	0.84			M14
2	21	1.19			M13
3	22	1.19			M13
4	23	1.19			M13
5	24	1.19			M13
6	11	1.52			M12
7	2	1.84			M11
8	10	2.02			M10
9	5	2.11			M09
10	12	2.11			M09
11	7	2.11			M09
12	5	2.44			M08
13	3	2.58			M07
14	17	3.86			M06
15	1	4.21			M05
16	15	5.30			M04
17	9	5.35			M03
18	16	5.43			M02
19	8	5.49			M01

