No. (ppm) (Hz) Height
1 0.00 0.0 1.0000
2 1.64 986.4 0.0470
3 1.64 987.3 0.0453
4 1.65 993.0 0.1731
5 1.66 994.3 0.1504
6 1.67 1000.0 0.2350
7 1.67 1002.2 0.2699
8 1.67 1004.9 0.1557
9 1.68 1006.6 0.1385
10 1.68 1008.8 0.3144
11 1.69 1015.4 0.1269
12 1.71 1026.9 0.1231
13 1.72 1030.8 0.1126
14 1.72 1033.9 0.2150
15 1.73 1035.7 0.2194
16 1.73 1037.9 0.1586
17 1.73 1041.4 0.2691
18 1.74 1045.8 0.1276
19 1.75 1050.7 0.1888
20 1.76 1056.4 0.0676
21 3.01 1805.1 0.5228
22 3.02 1813.0 0.6172
23 3.03 1820.1 0.4515
24 3.21 1928.3 0.3696
25 3.22 1934.9 0.7804
26 3.23 1942.0 0.4017
