Table of Peaks
No.	(ppm)	(Hz)	Height
19	13	1.37	M11
20	25	1.45	M10
21	13	1.45	M10
22	8	1.45	M10
23	7a	1.64	M09
24	3	1.72	M08
25	17	1.77	M07
26	5	1.81	M06
27	14a	1.81	M06
28	6	1.83	M05
29	12	1.85	M04
30	9	2.01	M03
31	4	3.60	M02
32	16	5.16	M01
