Table of Peaks
No.	(ppm)	Height
1	0.68	0.0498
2	0.77	0.0089
3	0.77	0.0079
4	0.78	0.0123
5	0.78	0.0082
6	0.79	0.0067
7	0.80	0.0120
8	0.81	0.0325
9	0.82	0.0229
10	0.83	0.0226
11	0.83	0.0135
12	0.84	0.0254
13	0.85	0.0365
14	0.85	0.0105
15	0.86	0.0180
16	0.86	0.0096
17	0.91	0.0114
18	0.92	0.0259
19	0.93	0.0205
20	0.93	0.0091
21	0.94	0.0056
22	0.95	0.0045
23	0.96	0.0031
24	0.98	0.0029
25	0.98	0.0036
26	0.98	0.0039
27	0.99	0.0037
28	1.01	0.0614
29	1.03	0.0037
30	1.03	0.0032
31	1.03	0.0028
32	1.04	0.0030
33	1.05	0.0041
34	1.06	0.0059
35	1.07	0.0042
36	1.08	0.0067
37	1.08	0.0062
38	1.09	0.0055
39	1.10	0.0066
40	1.10	0.0056
41	1.11	0.0051
42	1.12	0.0033
43	1.13	0.0033
44	1.13	0.0034
45	1.14	0.0045
46	1.15	0.0042
47	1.16	0.0062
48	1.17	0.0049
49	1.17	0.0057
50	1.18	0.0055
51	1.18	0.0057
52	1.18	0.0050
53	1.20	0.0054
54	1.21	0.0046
55	1.22	0.0045
56	1.23	0.0047
57	1.24	0.0038
58	1.26	0.0056
59	1.27	0.0043
60	1.27	0.0043
61	1.28	0.0050
62	1.29	0.0032
63	1.29	0.0035
64	1.30	0.0029
65	1.30	0.0029
66	1.31	0.0023
67	1.31	0.0031
68	1.32	0.0031
69	1.32	0.0028
70	1.33	0.0028
71	1.34	0.0029
72	1.35	0.0035
73	1.36	0.0030
74	1.36	0.0033
75	1.37	0.0029
76	1.38	0.0028
77	1.39	0.0021
78	1.39	0.0018
79	1.40	0.0016
80	1.42	0.0021
81	1.42	0.0024
82	1.43	0.0023
83	1.43	0.0022
84	1.44	0.0055
85	1.45	0.0057
86	1.46	0.0045
87	1.46	0.0045
88	1.47	0.0066
89	1.47	0.0037
90	1.48	0.0051
91	1.49	0.0066
92	1.49	0.0069
93	1.50	0.0063
94	1.50	0.0055
95	1.51	0.0074
96	1.51	0.0060
97	1.52	0.0055
98	1.52	0.0051
99	1.53	0.0055
100	1.54	0.0044
101	1.55	0.0036
102	1.55	0.0037
103	1.56	0.0027
104	1.57	0.0037
105	1.57	0.0033
106	1.57	0.0032
107	1.58	0.0031
108	1.58	0.0031
109	1.59	0.0035
110	1.59	0.0024
111	1.60	0.0022
112	1.60	0.0019
113	1.64	0.0014
114	1.65	0.0014
115	1.65	0.0022
116	1.66	0.0023
117	1.66	0.0027
118	1.67	0.0027
119	1.67	0.0023
120	1.68	0.0020
121	1.68	0.0014
122	1.69	0.0012
123	1.81	0.0014
124	1.81	0.0017
125	1.82	0.0036
126	1.83	0.0049
127	1.83	0.0056
128	1.84	0.0081
129	1.84	0.0058
130	1.85	0.0053
131	1.85	0.0052
132	1.85	0.0060
133	1.86	0.0056
134	1.87	0.0030
135	1.87	0.0016
136	1.95	0.0019
137	1.95	0.0022
138	1.96	0.0032
139	1.96	0.0033
140	1.97	0.0023
141	1.97	0.0020
142	1.98	0.0020
143	1.98	0.0023
144	1.99	0.0030
145	1.99	0.0034
146	2.00	0.0037
147	2.01	0.0026
148	2.02	0.0028
149	2.02	0.0033
150	2.03	0.0022
151	2.21	0.0009
152	2.21	0.0015
153	2.22	0.0016
154	2.22	0.0011
155	2.24	0.0036
156	2.24	0.0033
157	2.24	0.0019
158	2.25	0.0018
159	2.25	0.0029
160	2.26	0.0029
161	2.26	0.0018
162	2.28	0.0039
163	2.28	0.0043
164	2.29	0.0044
165	2.29	0.0042
166	2.30	0.0024
167	2.30	0.0025
168	2.31	0.0023
169	2.31	0.0023
170	3.50	0.0013
171	3.51	0.0023
172	3.52	0.0021
173	3.52	0.0030
174	3.53	0.0046
175	3.54	0.0031
176	3.54	0.0019
177	3.55	0.0023
178	3.55	0.0013
179	5.35	0.0057
180	5.35	0.0048
181	5.36	0.0058

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	Atom1				Multiplet1	 (ppm)
1	0.68		3	s	18				M13		0.66 .. 0.69
2	0.77		9	m	30 29 24			M12		0.75 .. 0.88
3	0.91		6	m	27 22 4 2			M11		0.89 .. 1.00
4	1.01		3	s	25				M10		1.00 .. 1.02
5	1.03		11	m	14 7 6 21 23 8 20 19	M09		1.02 .. 1.41
6	1.42		6	m	5 3 10 9			M08		1.41 .. 1.62
7	1.64		1	m	28				M07		1.62 .. 1.71
8	1.81		3	m	14 15 8			M06		1.79 .. 1.89
9	1.95		2	m	10 6				M05		1.93 .. 2.05
10	2.21		1	m	17				M04		2.20 .. 2.27
11	2.28		1	ddd	17				M03		2.27 .. 2.33
12	3.50		1	m	16				M02		3.48 .. 3.58
13	5.35		1	m	11				M01		5.32 .. 5.38

Table of Assignments
