Table of Peaks
No.	(ppm)	Height
1	0.87	0.0040
2	0.88	0.0083
3	0.89	0.0033
4	1.25	0.0892
5	1.27	0.0027
6	1.29	0.0024
7	1.29	0.0018
8	1.31	0.0016
9	1.32	0.0010
10	1.32	0.0010
11	1.34	0.0005
12	1.59	0.0006
13	1.60	0.0014
14	1.61	0.0018
15	1.62	0.0012
16	1.64	0.0004
17	2.28	0.0757

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	Atom1											Multiplet1	 (ppm)
1	0.87		3	t	28											M04		0.85 .. 0.91
2	1.25		44	m	27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6	M03		1.18 .. 1.39
3	1.59		2	q	5											M02		1.57 .. 1.65
4	2.28		2	br. s.	4											M01		2.20 .. 2.39

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	28	0.87			M04
2	27	1.25			M03
3	26	1.25			M03
4	25	1.25			M03
5	24	1.25			M03
6	23	1.25			M03
7	22	1.25			M03
8	21	1.25			M03
9	20	1.25			M03
10	19	1.25			M03
11	18	1.25			M03
12	17	1.25			M03
13	16	1.25			M03
14	15	1.25			M03
15	14	1.25			M03
16	13	1.25			M03
17	12	1.25			M03
18	11	1.25			M03
19	10	1.25			M03
20	9	1.25			M03
21	8	1.25			M03
22	7	1.25			M03
23	6	1.25			M03
24	5	1.59			M02
25	4	2.28			M01

