No. (ppm) (Hz) Height
1 1.54 923.5 0.0387
2 1.54 925.6 0.0401
3 1.55 930.5 0.1247
4 1.55 933.3 0.1123
5 1.56 938.9 0.2576
6 1.57 940.1 0.2273
7 1.57 942.2 0.1639
8 1.58 945.8 0.3369
9 1.58 947.3 0.2616
10 1.58 949.8 0.2597
11 1.58 951.0 0.2248
12 1.59 952.2 0.2277
13 1.59 953.5 0.2654
14 1.59 955.9 0.2427
15 1.59 957.3 0.2801
16 1.60 960.8 0.1910
17 1.61 964.9 0.2616
18 1.61 968.8 0.1340
19 1.62 972.6 0.1570
20 1.63 978.0 0.0518
21 1.63 979.9 0.0523
22 2.19 1313.9 0.4775
23 2.20 1320.9 1.0000
24 2.21 1328.2 0.5623
25 2.62 1575.7 0.4066
26 2.64 1583.2 0.6044
27 2.65 1590.4 0.3279
28 7.24 4344.3 0.0671
29 7.24 4345.6 0.1276
30 7.24 4346.9 0.0736
31 7.25 4352.8 0.3110
32 7.26 4358.9 0.1003
33 7.26 4360.1 0.1935
34 7.27 4361.5 0.1177
35 7.29 4375.4 0.3931
36 7.29 4376.1 0.4298
37 7.29 4376.7 0.4331
38 7.30 4383.2 0.6773
39 7.30 4384.4 0.5098
40 7.30 4384.8 0.5020
41 7.35 4410.5 0.5518
42 7.35 4412.4 0.1773
43 7.36 4418.0 0.6876
44 7.36 4419.8 0.1737
45 7.37 4424.1 0.1111
46 7.37 4425.7 0.2870
