Table of Peaks
No.	(ppm)	Height
1	0.87	0.1206
2	0.88	0.2540
3	0.89	0.0972
4	1.25	1.0000
5	1.28	0.0841
6	1.29	0.1076
7	1.30	0.0779
8	1.31	0.0396
9	1.32	0.0143
10	1.58	0.0087
11	1.59	0.0255
12	1.61	0.0361
13	1.61	0.0280
14	1.62	0.0276
15	1.63	0.0153
16	1.64	0.0038
17	2.30	0.0560
18	2.30	0.0344
19	2.31	0.0795
20	2.31	0.0493
21	2.32	0.0479
22	2.33	0.0264
23	4.13	0.0243
24	4.14	0.0259
25	4.15	0.0312
26	4.16	0.0302
27	4.28	0.0305
28	4.29	0.0321
29	4.30	0.0247
30	4.31	0.0238
31	5.25	0.0034
32	5.26	0.0080
33	5.26	0.0082
34	5.27	0.0143
35	5.27	0.0081
36	5.28	0.0074
37	5.28	0.0031

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	Atom1	Multiplet1	 (ppm)
1	0.88	9	t	23 42 57	M07		0.85 .. 0.91
2	1.28	76	m	11 12 13 14 15 16 17 18 19 20 21 22 30 31 32 33 34 35 36 37 38 39 40 41 45 46 47 48 49 50 51 52 53 54 55 56					M06		1.21 .. 1.35
3	1.49	72	m			M07		1.49 .. 1.49
4	1.58	6	m	10 29 44	M05		1.57 .. 1.65
5	2.30	6	m	9 28 43	M04		2.27 .. 2.34
6	4.13	2	dd	24 5		M03		4.11 .. 4.18
7	4.28	2	dd	24 5		M02		4.26 .. 4.32
8	5.25	1	m	4		M01		5.24 .. 5.29

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	23	0.88			M07
2	42	0.88			M07
3	57	0.88			M07
4	11	1.28			M06
5	12	1.28			M06
6	13	1.28			M06
7	14	1.28			M06
8	15	1.28			M06
9	16	1.28			M06
10	17	1.28			M06
11	18	1.28			M06
12	19	1.28			M06
13	20	1.28			M06
14	21	1.28			M06
15	22	1.28			M06
16	30	1.28			M06
17	31	1.28			M06
18	32	1.28			M06
19	33	1.28			M06
20	34	1.28			M06
21	35	1.28			M06
22	36	1.28			M06
23	37	1.28			M06
24	38	1.28			M06
25	39	1.28			M06
26	40	1.28			M06
27	41	1.28			M06
28	45	1.28			M06
29	46	1.28			M06
30	47	1.28			M06
31	48	1.28			M06
32	49	1.28			M06
33	50	1.28			M06
34	51	1.28			M06
35	52	1.28			M06
36	53	1.28			M06
37	54	1.28			M06
38	55	1.28			M06
39	56	1.28			M06
40	10	1.58			M05
41	29	1.58			M05
42	44	1.58			M05
43	9	2.30			M04
44	28	2.30			M04
45	43	2.30			M04
46	24	4.13			M03
47	5	4.13			M03
48	24	4.28			M02
49	5	4.28			M02
50	4	5.25			M01

