Table of Peaks
No.	(ppm)	Height
1	0.68	0.2702
2	0.86	0.1978
3	0.86	0.2042
4	0.87	0.2167
5	0.87	0.2705
6	0.88	0.1520
7	0.90	0.0576
8	0.91	0.1210
9	0.92	0.1280
10	0.93	0.0124
11	0.95	0.0150
12	0.95	0.0160
13	0.97	0.0110
14	0.97	0.0135
15	0.97	0.0172
16	0.98	0.0104
17	0.99	0.0204
18	1.00	0.0291
19	1.01	0.0190
20	1.02	0.2828
21	1.03	0.0130
22	1.04	0.0084
23	1.05	0.0136
24	1.06	0.0150
25	1.07	0.0191
26	1.08	0.0176
27	1.08	0.0274
28	1.09	0.0173
29	1.10	0.0358
30	1.12	0.0258
31	1.12	0.0247
32	1.13	0.0304
33	1.14	0.0403
34	1.15	0.0256
35	1.15	0.0208
36	1.16	0.0321
37	1.17	0.0239
38	1.18	0.0109
39	1.19	0.0091
40	1.23	0.0054
41	1.23	0.0072
42	1.25	0.0189
43	1.25	0.0200
44	1.27	0.0528
45	1.27	0.0694
46	1.28	0.0568
47	1.28	0.0698
48	1.30	0.1810
49	1.31	0.0930
50	1.33	0.0884
51	1.34	0.0503
52	1.35	0.0253
53	1.36	0.0153
54	1.37	0.0117
55	1.38	0.0113
56	1.39	0.0072
57	1.40	0.0038
58	1.42	0.0072
59	1.42	0.0064
60	1.43	0.0182
61	1.44	0.0227
62	1.45	0.0160
63	1.46	0.0228
64	1.46	0.0149
65	1.47	0.0093
66	1.48	0.0136
67	1.49	0.0169
68	1.49	0.0164
69	1.49	0.0220
70	1.51	0.0225
71	1.52	0.0338
72	1.53	0.0212
73	1.54	0.0159
74	1.54	0.0178
75	1.55	0.0178
76	1.55	0.0634
77	1.56	0.0289
78	1.57	0.0229
79	1.57	0.0177
80	1.58	0.0266
81	1.59	0.0224
82	1.60	0.0292
83	1.60	0.0250
84	1.61	0.0324
85	1.62	0.0207
86	1.63	0.0066
87	1.80	0.0049
88	1.81	0.0060
89	1.81	0.0093
90	1.82	0.0091
91	1.82	0.0138
92	1.83	0.0200
93	1.84	0.0251
94	1.85	0.0339
95	1.85	0.0214
96	1.86	0.0232
97	1.87	0.0182
98	1.87	0.0083
99	1.94	0.0061
100	1.95	0.0117
101	1.96	0.0072
102	1.97	0.0062
103	1.98	0.0069
104	1.98	0.0113
105	1.98	0.0118
106	1.99	0.0442
107	2.00	0.0379
108	2.01	0.0773
109	2.02	0.0841
110	2.03	0.0355
111	2.25	0.0507
112	2.26	0.0816
113	2.28	0.0500
114	2.29	0.0075
115	2.30	0.0143
116	2.30	0.0277
117	2.32	0.0416
118	2.33	0.0054
119	4.59	0.0009
120	4.59	0.0012
121	4.60	0.0014
122	4.60	0.0028
123	4.61	0.0022
124	4.61	0.0022
125	4.62	0.0025
126	4.63	0.0009
127	4.63	0.0014
128	4.64	0.0010
129	5.31	0.0040
130	5.32	0.0054
131	5.33	0.0205
132	5.34	0.0128
133	5.34	0.0360
134	5.34	0.0471
135	5.35	0.0484
136	5.35	0.0381
137	5.35	0.0148
138	5.36	0.0228
139	5.36	0.0185
140	5.37	0.0242
141	5.38	0.0265

Table of Multiplets
No.	Atom	Exp. Shift (ppm)	Multiplet
1	22	0.68			M09
2	28	0.91			M08
3	45	0.91			M08
4	43	0.91			M08
5	44	0.91			M08
6	5	0.91			M08
7	24	0.91			M08
8	7	0.91			M08
9	21	0.91			M08
10	11	0.91			M08
11	9	0.91			M08
12	26	0.91			M08
13	25	0.91			M08
14	3	0.91			M08
15	17	0.91			M08
16	10	0.91			M08
17	42	1.33			M07
18	6	1.33			M07
19	40	1.33			M07
20	33	1.33			M07
21	31	1.33			M07
22	39	1.33			M07
23	34	1.33			M07
24	25	1.33			M07
25	24	1.33			M07
26	23	1.33			M07
27	41	1.33			M07
28	32	1.33			M07
29	16	1.33			M07
30	27	1.33			M07
31	15	1.33			M07
32	2	1.33			M07
33	11	1.33			M07
34	30	1.33			M07
35	10	1.80			M06
36	2	1.80			M06
37	3	1.80			M06
38	15	2.01			M05
39	17	2.01			M05
40	38	2.01			M05
41	35	2.01			M05
42	29	2.26			M04
43	12	2.29			M03
44	1	4.59			M02
45	37	5.31			M01
46	36	5.31			M01
47	14	5.31			M01

Table of Assignments
No.	Shift1 (ppm)	Hs	Type	J (Hz)	Atom1									Multiplet1	 (ppm)
1	0.68		3	s	-	22									M09		0.66 .. 0.70
2	0.91		26	m	-	28 45 43 44 5 24 7 21 11 9 26 25 3 17 10			M08		0.84 .. 1.20
3	1.33		28	m	-	42 6 40 33 31 39 34 25 24 23 41 32 16 27 15 2 11 30	M07		1.21 .. 1.66
4	1.80		3	m	-	10 2 3								M06		1.78 .. 1.89
5	2.01		6	m	-	15 17 38 35								M05		1.93 .. 2.06
6	2.26		2	t	7.54	29									M04		2.24 .. 2.28
7	2.29		2	m	-	12									M03		2.29 .. 2.34
8	4.59		0	m	-	1									M02		4.56 .. 4.67
9	5.31		3	m	-	37 36 14								M01		5.30 .. 5.40

