Table of Peaks
No.	(ppm)	Height
1	0.78	0.0562
2	0.79	0.1198
3	0.80	0.0605
4	0.85	0.0739
5	0.86	0.0748
6	0.94	0.0953
7	0.94	0.0953
8	0.95	0.1066
9	0.95	0.0841
10	1.01	0.1353
11	1.05	0.0185
12	1.06	0.1138
13	1.07	0.1389
14	1.08	0.1055
15	1.09	0.0883
16	1.13	0.2153
17	1.14	0.1036
18	1.15	0.1009
19	1.17	0.1841
20	1.24	0.0020
21	1.25	0.0059
22	1.26	0.0068
23	1.27	0.0074
24	1.28	0.0065
25	1.33	0.0016
26	1.34	0.0062
27	1.35	0.0024
28	1.36	0.0084
29	1.36	0.0072
30	1.37	0.0095
31	1.37	0.0090
32	1.38	0.0075
33	1.38	0.0088
34	1.39	0.0025
35	1.40	0.0062
36	1.41	0.0015
37	1.49	0.0122
38	1.50	0.0151
39	1.51	0.0232
40	1.52	0.0192
41	1.52	0.0197
42	1.54	0.0120
43	1.57	0.0112
44	1.57	0.0109
45	1.57	0.0112
46	1.58	0.0103
47	1.59	0.0098
48	1.59	0.0103
49	1.74	0.0018
50	1.74	0.0022
51	1.75	0.0069
52	1.75	0.0082
53	1.76	0.0082
54	1.77	0.0100
55	1.77	0.0095
56	1.78	0.0080
57	1.79	0.0072
58	1.79	0.0060
59	1.80	0.0018
60	1.80	0.0016
61	1.86	0.0062
62	1.87	0.0159
63	1.88	0.0193
64	1.88	0.0201
65	1.89	0.0132
66	1.89	0.0126
67	2.09	0.0065
68	2.09	0.0093
69	2.10	0.0034
70	2.11	0.0163
71	2.13	0.0086
72	2.20	0.1891
73	2.21	0.4159
74	2.25	0.0249
75	2.27	0.0222
76	2.35	0.0145
77	2.36	0.0123
78	2.37	0.0109
79	2.38	0.0085
80	2.38	0.0082
81	2.39	0.0101
82	2.40	0.0116
83	2.40	0.0121
84	2.40	0.0098
85	2.41	0.0076
86	2.42	0.0081
87	2.64	0.0045
88	2.65	0.0089
89	2.65	0.0181
90	2.66	0.0242
91	2.67	0.0212
92	2.67	0.0209
93	2.67	0.0194
94	2.68	0.0083
95	2.69	0.0046
96	2.90	0.0208
97	2.91	0.0230
98	2.91	0.0230
99	2.93	0.0212
100	3.01	0.0107
101	3.01	0.0106
102	3.02	0.0120
103	3.02	0.0200
104	3.03	0.0113
105	3.04	0.0100
106	3.04	0.0100
107	3.23	0.2752
108	3.44	0.0229
109	3.45	0.0239
110	3.51	0.0298
111	3.52	0.0290
112	3.64	0.0021
113	3.64	0.0022
114	3.65	0.0074
115	3.65	0.0075
116	3.66	0.0096
117	3.66	0.0096
118	3.67	0.0095
119	3.67	0.0095
120	3.67	0.0073
121	3.68	0.0074
122	3.68	0.0020
123	3.69	0.0019
124	4.06	0.0033
125	4.07	0.0127
126	4.07	0.0056
127	4.08	0.0136
128	4.08	0.0134
129	4.09	0.0056
130	4.09	0.0121
131	4.10	0.0030
132	4.16	0.0203
133	4.16	0.0234
134	4.39	0.0298
135	4.41	0.0287
136	4.73	0.0016
137	4.74	0.0014
138	4.75	0.0012
139	4.75	0.0013
140	4.84	0.0192
141	4.84	0.0196

