Table of Peaks
No.	(ppm)	Height
1	0.50	0.5295
2	0.86	0.0145
3	0.86	0.0166
4	0.88	0.0256
5	0.88	0.0257
6	0.89	0.0181
7	0.90	0.0171
8	0.91	0.0067
9	0.94	0.5007
10	0.96	0.0125
11	0.97	0.0148
12	0.99	0.0267
13	0.99	0.0326
14	1.01	0.0164
15	1.01	0.0138
16	1.10	0.0064
17	1.11	0.0083
18	1.12	0.0213
19	1.13	0.0241
20	1.14	0.0241
21	1.15	0.0248
22	1.16	0.0089
23	1.17	0.0084
24	1.31	0.0089
25	1.32	0.0148
26	1.33	0.0115
27	1.33	0.0276
28	1.34	0.0504
29	1.35	0.0463
30	1.36	0.0465
31	1.36	0.0474
32	1.36	0.0374
33	1.37	0.0395
34	1.37	0.0395
35	1.38	0.0168
36	1.38	0.0266
37	1.39	0.0130
38	1.40	0.0092
39	1.41	0.0237
40	1.42	0.0336
41	1.43	0.0477
42	1.44	0.0270
43	1.44	0.0320
44	1.44	0.0267
45	1.45	0.0376
46	1.46	0.0240
47	1.52	0.0113
48	1.52	0.0159
49	1.53	0.0125
50	1.54	0.0090
51	1.54	0.0126
52	1.54	0.0126
53	1.55	0.0181
54	1.55	0.0276
55	1.56	0.0282
56	1.56	0.0296
57	1.57	0.0260
58	1.57	0.0226
59	1.58	0.0232
60	1.58	0.0246
61	1.59	0.0220
62	1.59	0.0206
63	1.59	0.0231
64	1.60	0.0212
65	1.60	0.0152
66	1.61	0.0161
67	1.61	0.0218
68	1.62	0.0172
69	1.63	0.0100
70	1.63	0.0089
71	1.65	0.0070
72	1.66	0.0170
73	1.66	0.0207
74	1.66	0.0211
75	1.67	0.0188
76	1.67	0.0136
77	1.68	0.0168
78	1.68	0.0197
79	1.69	0.0197
80	1.69	0.0292
81	1.71	0.0204
82	1.71	0.0317
83	1.72	0.0256
84	1.73	0.0188
85	1.74	0.0154
86	1.75	0.0172
87	1.76	0.0322
88	1.76	0.0177
89	1.77	0.0188
90	1.78	0.0308
91	1.79	0.0148
92	1.80	0.0150
93	1.81	0.0168
94	1.82	0.0249
95	1.83	0.0246
96	1.84	0.0137
97	1.85	0.0110
98	1.91	0.0105
99	1.92	0.0133
100	1.92	0.0205
101	1.93	0.0213
102	1.93	0.0134
103	1.93	0.0117
104	1.94	0.0106
105	1.95	0.0125
106	1.95	0.0177
107	1.95	0.0182
108	1.96	0.0106
109	1.96	0.0086
110	2.06	0.0048
111	2.06	0.0144
112	2.06	0.0109
113	2.07	0.0070
114	2.09	1.0000
115	2.10	0.0238
116	2.11	0.0207
117	2.11	0.0111
118	2.13	0.0271
119	2.14	0.0299
120	2.14	0.0309
121	2.14	0.0286
122	2.15	0.0164
123	2.16	0.0172
124	2.16	0.0157
125	2.17	0.0143
126	2.52	0.0186
127	2.53	0.0199
128	2.54	0.0240
129	2.55	0.0392
130	2.55	0.0230
131	2.57	0.0189
132	2.57	0.0162
133	3.23	0.0055
134	3.24	0.0147
135	3.25	0.0182
136	3.25	0.0163
137	3.26	0.0304
138	3.27	0.0307
139	3.27	0.0162
140	3.28	0.0161
141	3.28	0.0134
142	3.29	0.0053
143	5.27	0.0498
144	5.27	0.0423
145	5.27	0.0419
146	5.27	0.0492

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	Atom1			Multiplet1	 (ppm)
1	0.50		3	s	18			M16		0.47 .. 0.52
2	0.86		1	m	4			M15		0.85 .. 0.91
3	0.94		3	s	19			M14		0.92 .. 0.95
4	0.96		1	m	6			M13		0.95 .. 1.03
5	1.10		1	m	17			M12		1.09 .. 1.18
6	1.33		5	m	14 7 15 3 13	M11		1.30 .. 1.47
7	1.52		3	m	12 14 17		M10		1.51 .. 1.64
8	1.65		2	m	2 7			M09		1.64 .. 1.75
9	1.75		1	m	6			M08		1.75 .. 1.79
10	1.80		1	m	13			M07		1.79 .. 1.86
11	1.91		1	m	12			M06		1.90 .. 1.97
12	2.09		4	m	24 9			M05		2.05 .. 2.12
13	2.13		1	ddd	9			M04		2.12 .. 2.17
14	2.52		1	m	16			M03		2.51 .. 2.58
15	3.23		1	m	8			M02		3.22 .. 3.30
16	5.27		1	m	11			M01		5.25 .. 5.29

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	18	0.50			M16
2	4	0.86			M15
3	19	0.94			M14
4	6	0.96			M13
5	17	1.10			M12
6	14	1.33			M11
7	7	1.33			M11
8	15	1.33			M11
9	3	1.33			M11
10	13	1.33			M11
11	12	1.52			M10
12	14	1.52			M10
13	17	1.52			M10
14	2	1.65			M09
15	7	1.65			M09
16	6	1.75			M08
17	13	1.80			M07
18	12	1.91			M06
19	24	2.09			M05
20	9	2.09			M05
21	9	2.13			M04
22	16	2.52			M03
23	8	3.23			M02
24	11	5.27			M01

