Table of Peaks
No.	(ppm)	Height
1	1.04	0.3506
2	1.14	0.3422
3	1.18	0.0115
4	1.18	0.0128
5	1.19	0.0133
6	1.20	0.0205
7	1.20	0.0156
8	1.21	0.0136
9	1.22	0.0150
10	1.34	0.0091
11	1.35	0.0120
12	1.35	0.0136
13	1.36	0.0171
14	1.37	0.0215
15	1.37	0.0264
16	1.38	0.0147
17	1.39	0.0100
18	1.39	0.0193
19	1.39	0.0127
20	1.44	0.0071
21	1.45	0.0094
22	1.46	0.0193
23	1.47	0.0209
24	1.49	0.0173
25	1.49	0.0185
26	1.51	0.0057
27	1.51	0.0063
28	1.56	0.0060
29	1.56	0.0087
30	1.56	0.0067
31	1.57	0.0091
32	1.58	0.0120
33	1.58	0.0234
34	1.59	0.0244
35	1.60	0.0109
36	1.60	0.0095
37	1.61	0.0351
38	1.62	0.0099
39	1.63	0.0151
40	1.64	0.0259
41	1.64	0.0189
42	1.65	0.0135
43	1.65	0.0209
44	1.66	0.0342
45	1.67	0.0183
46	1.67	0.0141
47	1.68	0.0069
48	1.68	0.0074
49	1.69	0.0156
50	1.69	0.0180
51	1.70	0.0153
52	1.71	0.0173
53	1.72	0.0179
54	1.74	0.0124
55	1.75	0.0117
56	1.85	0.0053
57	1.85	0.0096
58	1.86	0.0042
59	1.87	0.0157
60	1.87	0.0472
61	1.88	0.0307
62	1.88	0.0186
63	1.89	0.0300
64	1.89	0.0497
65	1.90	0.0188
66	1.91	0.0104
67	1.91	0.0195
68	1.91	0.0200
69	1.92	0.0178
70	1.93	0.0177
71	1.93	0.0197
72	1.94	0.0206
73	1.95	0.0182
74	2.01	0.0136
75	2.01	0.0161
76	2.02	0.0168
77	2.02	0.0161
78	2.03	0.0132
79	2.03	0.0143
80	2.04	0.0143
81	2.04	0.0129
82	2.29	0.0128
83	2.29	0.0120
84	2.30	0.0361
85	2.32	0.0370
86	2.34	0.0041
87	2.34	0.0149
88	2.35	0.0080
89	2.35	0.0154
90	2.36	0.0173
91	2.37	0.0189
92	2.38	0.0142
93	2.38	0.0208
94	2.39	0.0156
95	2.39	0.0171
96	2.40	0.0187
97	2.43	0.0102
98	2.43	0.0115
99	2.43	0.0110
100	2.44	0.0107
101	2.44	0.0117
102	2.44	0.0111
103	2.44	0.0102
104	2.46	0.0173
105	2.46	0.0180
106	2.46	0.0176
107	2.47	0.0180
108	2.47	0.0161
109	2.47	0.0150
110	2.47	0.0192
111	2.49	0.0171
112	2.49	0.0135
113	2.50	0.0347
114	2.52	0.0338
115	2.52	0.0312
116	2.53	0.0256
117	2.55	0.0478
118	2.56	0.0407
119	2.57	0.0311
120	2.58	0.0347
121	2.58	0.0296
122	2.59	0.0209
123	2.59	0.0239
124	2.60	0.0150
125	2.61	0.0187
126	2.62	0.0113
127	5.69	0.0782
128	6.08	0.0213
129	6.08	0.0207
130	6.10	0.0374
131	6.10	0.0402
132	6.13	0.0425
133	6.14	0.0418
134	6.15	0.0218
135	6.15	0.0233

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	Atom1		Multiplet1	 (ppm)
1	1.04		3	s	22		M13		1.03 .. 1.06
2	1.14		3	s	25		M12		1.12 .. 1.15
3	1.18		1	m	6a		M11		1.16 .. 1.23
4	1.34		2	m	4a 8		M10		1.33 .. 1.41
5	1.44		1	ddd	7		M09		1.44 .. 1.52
6	1.56		4	m	13 8 7 19	M08		1.54 .. 1.76
7	1.85		3	m	12 13 11	M07		1.84 .. 1.96
8	2.01		1	ddd	19		M06		2.00 .. 2.05
9	2.29		3	m	5a 12 11	M05		2.27 .. 2.41
10	2.43		4	m	10 20		M04		2.42 .. 2.63
11	5.69		1	s	17		M03		5.67 .. 5.71
12	6.08		1	dd	14		M02		6.07 .. 6.11
13	6.13		1	dd	15		M01		6.12 .. 6.16

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	22	1.04			M13
2	25	1.14			M12
3	6a	1.18			M11
4	4a	1.34			M10
5	8	1.34			M10
6	7	1.44			M09
7	13	1.56			M08
8	8	1.56			M08
9	7	1.56			M08
10	19	1.56			M08
11	12	1.85			M07
12	13	1.85			M07
13	11	1.85			M07
14	19	2.01			M06
15	5a	2.29			M05
16	12	2.29			M05
17	11	2.29			M05
18	10	2.43			M04
19	20	2.43			M04
20	17	5.69			M03
21	14	6.08			M02
22	15	6.13			M01

