Table of Peaks
No.	(ppm)	Height
1	0.65	0.9761
2	0.84	0.7504
3	0.84	0.7642
4	0.85	0.7883
5	0.85	0.7689
6	0.87	0.0338
7	0.88	0.0382
8	0.89	0.4622
9	0.90	0.4562
10	0.91	0.0477
11	0.92	0.0397
12	0.95	1.0000
13	0.96	0.0486
14	0.96	0.0699
15	0.97	0.0990
16	0.99	0.1303
17	0.99	0.0839
18	1.01	0.0791
19	1.02	0.0256
20	1.03	0.0482
21	1.04	0.0454
22	1.05	0.0657
23	1.06	0.0515
24	1.06	0.0982
25	1.08	0.1170
26	1.10	0.0985
27	1.11	0.0621
28	1.12	0.0812
29	1.12	0.0756
30	1.12	0.0744
31	1.13	0.0848
32	1.14	0.1014
33	1.14	0.0894
34	1.16	0.0481
35	1.17	0.0356
36	1.19	0.0184
37	1.20	0.0200
38	1.22	0.0457
39	1.22	0.0252
40	1.23	0.0362
41	1.25	0.0145
42	1.26	0.0124
43	1.28	0.0091
44	1.29	0.0146
45	1.29	0.0220
46	1.31	0.1054
47	1.32	0.0829
48	1.32	0.0903
49	1.34	0.0454
50	1.34	0.0509
51	1.34	0.0499
52	1.35	0.0613
53	1.36	0.0498
54	1.37	0.0778
55	1.38	0.0887
56	1.39	0.0751
57	1.40	0.1123
58	1.41	0.0599
59	1.42	0.0610
60	1.43	0.0184
61	1.43	0.0207
62	1.44	0.0161
63	1.47	0.0485
64	1.48	0.0964
65	1.48	0.0672
66	1.49	0.1014
67	1.50	0.1335
68	1.51	0.1146
69	1.52	0.0605
70	1.53	0.0695
71	1.54	0.0347
72	1.55	0.0362
73	1.55	0.0195
74	1.56	0.0193
75	1.56	0.0147
76	1.75	0.0157
77	1.76	0.0240
78	1.77	0.0576
79	1.77	0.0904
80	1.78	0.0667
81	1.78	0.0456
82	1.79	0.0620
83	1.80	0.0737
84	1.82	0.0119
85	1.85	0.0341
86	1.86	0.0409
87	1.86	0.0405
88	1.86	0.0348
89	1.87	0.0264
90	1.88	0.0349
91	1.88	0.0405
92	1.89	0.0496
93	1.89	0.0383
94	1.89	0.0447
95	1.90	0.0424
96	1.90	0.0281
97	1.91	0.0232
98	1.91	0.0201
99	1.92	0.0246
100	1.92	0.0352
101	1.93	0.0362
102	1.93	0.0233
103	1.94	0.0240
104	1.94	0.0319
105	1.95	0.0552
106	1.95	0.0357
107	1.96	0.0342
108	1.97	0.0519
109	1.97	0.0281
110	2.11	0.0235
111	2.12	0.0239
112	2.13	0.0502
113	2.15	0.0287
114	2.16	0.0280
115	2.35	0.0454
116	2.35	0.0500
117	2.36	0.0497
118	2.36	0.0462
119	2.37	0.0389
120	2.38	0.0417
121	2.38	0.0433
122	2.38	0.0399
123	3.80	0.0193
124	3.81	0.0412
125	3.82	0.0297
126	3.82	0.0453
127	3.83	0.0820
128	3.84	0.0463
129	3.84	0.0280
130	3.85	0.0389
131	3.86	0.0189
132	5.28	0.0945
133	5.28	0.0859
134	5.28	0.0975

Table of Multiplets
No.	Atom	Exp. Shift (ppm)	Multiplet
1	19	0.65	M13
2	30	0.84	M12
3	25	0.84	M12
4	2	0.90	M11
5	29	0.90	M11
6	18	1.04	M10
7	13	1.04	M10
8	4	1.04	M10
9	21	1.04	M10
10	8	1.04	M10
11	6	1.04	M10
12	23	1.04	M10
13	15	1.04	M10
14	22	1.04	M10
15	7	1.19	M09
16	22	1.33	M08
17	21	1.33	M08
18	20	1.33	M08
19	3	1.33	M08
20	14	1.33	M08
21	12	1.33	M08
22	14	1.50	M07
23	24	1.50	M07
24	16	1.50	M07
25	8	1.50	M07
26	7	1.77	M06
27	13	1.77	M06
28	12	1.90	M05
29	16	1.90	M05
30	15	1.90	M05
31	10	2.12	M04
32	10	2.35	M03
33	11	3.83	M02
34	17	5.28	M01

Table of Assignments
No.	Shift1 (ppm)	Hs	Type	J (Hz)		Atom1				Multiplet1	 (ppm)
1	0.65		3	s	-		19					M13	0.63 .. 0.67
2	0.84		6	dd	6.60 2.92	30 25					M12	0.82 .. 0.86
3	0.90		4	m	-		2 29					M11	0.86 .. 0.92
4	1.04		12	m	-		18 13 4 21 8 6 23 15 22		M10	0.93 .. 1.18
5	1.19		1	m	-		7					M09	1.19 .. 1.27
6	1.33		6	m	-		22 21 20 3 14 12			M08	1.27 .. 1.45
7	1.50		4	m	-		14 24 16 8				M07	1.45 .. 1.58
8	1.77		2	m	-		7 13					M06	1.74 .. 1.83
9	1.90		3	m	-		12 16 15				M05	1.83 .. 1.99
10	2.12		1	m	-		10					M04	2.09 .. 2.17
11	2.35		1	ddd	-		10					M03	2.33 .. 2.40
12	3.83		1	m	-		11					M02	3.79 .. 3.87
13	5.28		1	m	-		17					M01	5.25 .. 5.30

