Table of Peaks
No.	(ppm)	(Hz)	Height
1	0.73	362.7	0.4866
2	0.96	481.8	0.0154
3	0.97	485.7	0.0168
4	0.99	496.4	0.0239
5	1.00	497.8	0.0203
6	1.01	504.4	0.0171
7	1.02	508.6	0.0181
8	1.08	539.0	0.0100
9	1.09	543.3	0.0086
10	1.10	551.9	0.0146
11	1.11	555.1	0.0135
12	1.13	564.5	0.0158
13	1.14	568.1	0.0162
14	1.16	577.4	0.0111
15	1.16	581.7	0.0102
16	1.19	593.2	0.0089
17	1.21	602.9	0.4601
18	1.22	611.2	0.0157
19	1.22	612.2	0.0242
20	1.23	616.5	0.0235
21	1.24	617.6	0.0154
22	1.25	623.2	0.0248
23	1.25	624.3	0.0180
24	1.26	628.7	0.0121
25	1.27	635.5	0.0134
26	1.40	699.5	0.0170
27	1.41	706.8	0.0189
28	1.42	710.4	0.0263
29	1.44	717.7	0.0300
30	1.45	722.6	0.0195
31	1.46	729.7	0.0258
32	1.46	732.1	0.0180
33	1.48	737.4	0.0244
34	1.48	741.5	0.0446
35	1.50	747.9	0.0332
36	1.51	754.1	0.0459
37	1.51	756.5	0.0238
38	1.52	759.8	0.0215
39	1.53	763.0	0.0553
40	1.53	766.2	0.0265
41	1.54	771.3	0.0656
42	1.56	779.3	0.0407
43	1.57	783.0	0.0442
44	1.59	792.8	0.0224
45	1.59	796.1	0.0340
46	1.61	804.9	0.0036
47	1.62	808.4	0.0086
48	1.65	823.4	0.0122
49	1.65	827.1	0.0237
50	1.66	830.7	0.0229
51	1.67	834.2	0.0106
52	1.67	835.9	0.0102
53	1.68	840.0	0.0191
54	1.69	842.9	0.0171
55	1.69	846.5	0.0077
56	1.70	849.2	0.0122
57	1.71	853.9	0.0124
58	1.73	863.2	0.0249
59	1.74	868.0	0.0259
60	1.75	876.9	0.0161
61	1.76	881.6	0.0147
62	1.78	889.3	0.0112
63	1.78	892.0	0.0114
64	1.79	896.5	0.0115
65	1.80	898.9	0.0204
66	1.80	901.5	0.0217
67	1.81	904.3	0.0138
68	1.81	905.7	0.0124
69	1.82	908.7	0.0206
70	1.82	911.4	0.0186
71	1.83	913.6	0.0096
72	1.84	918.3	0.0089
73	1.84	920.9	0.0085
74	1.87	936.0	0.0104
75	1.88	939.2	0.0153
76	1.88	941.6	0.0205
77	1.89	944.5	0.0156
78	1.90	947.3	0.0131
79	1.90	948.9	0.0118
80	1.90	951.8	0.0147
81	1.91	954.5	0.0192
82	1.92	957.5	0.0145
83	1.92	960.2	0.0095
84	2.03	1016.6	0.0199
85	2.04	1019.8	0.0245
86	2.04	1021.7	0.0253
87	2.05	1024.8	0.0229
88	2.06	1030.0	0.0188
89	2.07	1033.3	0.0221
90	2.07	1035.0	0.0217
91	2.08	1038.2	0.0184
92	2.16	1080.1	0.0105
93	2.17	1082.9	0.0107
94	2.17	1086.2	0.0108
95	2.18	1089.0	0.0114
96	2.18	1091.2	0.0117
97	2.19	1094.8	0.0147
98	2.20	1097.5	0.0186
99	2.20	1100.3	0.0139
100	2.21	1104.0	0.0107
101	2.21	1106.3	0.0099
102	2.22	1109.0	0.0089
103	2.22	1112.1	0.0092
104	2.23	1114.8	0.0084
105	2.27	1133.8	0.0150
106	2.27	1136.2	0.0176
107	2.28	1137.9	0.0184
108	2.28	1140.4	0.0157
109	2.30	1148.3	0.0270
110	2.30	1150.9	0.0304
111	2.31	1152.5	0.0290
112	2.31	1154.9	0.0225
113	2.33	1164.9	0.0083
114	2.33	1165.5	0.0086
115	2.34	1169.0	0.0130
116	2.34	1170.4	0.0114
117	2.35	1172.8	0.0102
118	2.35	1173.5	0.0098
119	2.37	1182.4	0.0271
120	2.37	1186.4	0.0466
121	2.39	1193.6	0.0156
122	2.40	1200.2	0.0522
123	2.41	1202.3	0.0249
124	2.41	1205.3	0.0484
125	2.42	1207.6	0.0205
126	2.43	1214.6	0.0396
127	2.43	1216.9	0.0253
128	2.44	1219.6	0.0358
129	2.44	1222.0	0.0222
130	2.46	1231.5	0.0148
131	2.47	1236.5	0.0123
132	3.77	1883.4	0.0295
133	3.78	1886.9	0.0308
134	3.78	1889.3	0.0297
135	3.79	1892.7	0.0269
136	5.74	2870.9	0.0408

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	J (Hz)	Atom1	Multiplet1	 (ppm)
1	0.73	3	s	-	18	M18	0.70 .. 0.75
2	0.99	1	m	-	4a	M17	0.95 .. 1.03
3	1.12	1	m	-	10	M16	1.06 .. 1.17
4	1.21	3	s	-	21	M15	1.19 .. 1.21
5	1.24	1	m	-	9	M14	1.22 .. 1.28
6	1.51	6	m	-	6 3a 8 5 2a	M13	1.39 .. 1.63
7	1.68	1	m	-	5	M12	1.64 .. 1.72
8	1.75	1	m	-	16	M11	1.72 .. 1.77
9	1.81	1	m	-	9	M10	1.77 .. 1.85
10	1.90	1	m	-	10	M09	1.86 .. 1.93
11	2.06	1	m	-	16	M08	2.02 .. 2.09
12	2.20	1	m	-	8	M07	2.14 .. 2.25
13	2.29	1	m	-	11	M06	2.26 .. 2.32
14	2.35	1	m	-	15	M05	2.32 .. 2.39
15	2.42	1	m	-	11	M04	2.39 .. 2.45
16	2.47	1	d	5.01	15	M03	2.46 .. 2.48
17	3.78	1	dd	5.81 3.45	7	M02	3.76 .. 3.80
18	5.74	1	s	-	13	M01	5.72 .. 5.77

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	37	0.73	M18
2	23	0.99	M17
3	31	1.12	M16
4	41	1.21	M15
5	29	1.24	M14
6	24	1.51	M13
7	22	1.51	M13
8	33	1.51	M13
9	26	1.51	M13
10	21	1.51	M13
11	27	1.68	M12
12	39	1.75	M11
13	29	1.81	M10
14	32	1.90	M09
15	40	2.06	M08
16	34	2.20	M07
17	35	2.29	M06
18	44	2.35	M05
19	36	2.42	M04
20	45	2.47	M03
21	28	3.78	M02
22	46	5.74	M01
