Table of Peaks
No.	(ppm)	(Hz)	Height
1	0.804	401.79	0.9920
2	0.913	456.23	0.0355
3	0.921	460.40	0.0384
4	0.937	468.36	0.0591
5	0.943	471.29	0.0592
6	0.958	479.02	0.0550
7	0.969	484.37	0.0697
8	0.980	489.68	0.0741
9	0.995	497.27	0.0801
10	1.001	500.25	0.0804
11	1.016	507.98	0.0501
12	1.024	511.78	0.0493
13	1.032	515.81	0.0475
14	1.049	524.45	0.0255
15	1.058	528.80	0.0243
16	1.072	535.66	0.0324
17	1.080	539.69	0.0377
18	1.097	548.52	0.0679
19	1.106	552.64	0.0706
20	1.123	561.33	0.0396
21	1.131	565.49	0.0394
22	1.206	602.87	1.0000
23	1.278	638.93	0.0220
24	1.290	644.88	0.0246
25	1.293	646.48	0.0216
26	1.303	651.15	0.0598
27	1.314	657.00	0.0611
28	1.327	663.41	0.0670
29	1.339	669.26	0.0679
30	1.352	675.85	0.0372
31	1.358	678.92	0.1048
32	1.370	684.73	0.1066
33	1.401	700.33	0.0208
34	1.409	704.40	0.0224
35	1.428	713.64	0.0543
36	1.436	717.95	0.0779
37	1.444	721.51	0.0344
38	1.453	726.46	0.0826
39	1.461	730.35	0.1004
40	1.470	734.97	0.0444
41	1.480	739.68	0.0605
42	1.487	743.43	0.0748
43	1.495	747.05	0.0273
44	1.504	751.80	0.0213
45	1.511	755.24	0.0241
46	1.551	775.32	0.0264
47	1.564	781.96	0.3234
48	1.573	786.35	0.0652
49	1.580	789.83	0.0663
50	1.596	797.97	0.1138
51	1.603	801.36	0.1370
52	1.611	805.29	0.0601
53	1.618	808.95	0.0657
54	1.625	812.02	0.1066
55	1.630	814.58	0.0936
56	1.638	818.56	0.0599
57	1.644	821.90	0.0502
58	1.655	826.98	0.0265
59	1.663	831.05	0.0235
60	1.669	834.44	0.0223
61	1.678	838.83	0.0315
62	1.688	843.59	0.0327
63	1.706	852.78	0.0639
64	1.716	857.59	0.0659
65	1.734	866.69	0.0421
66	1.744	871.50	0.0390
67	1.832	915.92	0.0266
68	1.843	921.41	0.0560
69	1.851	924.94	0.0838
70	1.858	928.50	0.1066
71	1.865	931.94	0.0892
72	1.876	937.56	0.0828
73	1.882	940.58	0.0807
74	1.890	944.47	0.0446
75	2.021	1009.95	0.0455
76	2.027	1013.24	0.0582
77	2.030	1014.80	0.0634
78	2.037	1018.14	0.0541
79	2.047	1023.35	0.0435
80	2.055	1027.33	0.0729
81	2.064	1031.73	0.0517
82	2.074	1036.48	0.0481
83	2.085	1042.20	0.0526
84	2.093	1046.09	0.0447
85	2.101	1050.16	0.0492
86	2.112	1055.84	0.0409
87	2.119	1059.32	0.0242
88	2.131	1065.17	0.0198
89	2.263	1130.92	0.0367
90	2.268	1133.39	0.0461
91	2.270	1134.85	0.0493
92	2.275	1137.33	0.0414
93	2.292	1145.52	0.0639
94	2.297	1147.99	0.0759
95	2.300	1149.45	0.0787
96	2.305	1151.92	0.0614
97	2.326	1162.54	0.0246
98	2.334	1166.52	0.0388
99	2.341	1170.22	0.0291
100	2.360	1179.51	0.0700
101	2.368	1183.40	0.1248
102	2.375	1187.29	0.0905
103	2.398	1198.73	0.1090
104	2.408	1203.76	0.1135
105	2.427	1213.28	0.0802
106	2.432	1215.79	0.0629
107	2.437	1218.26	0.0806
108	2.442	1220.60	0.0395
109	2.461	1230.25	0.0299
110	2.472	1235.33	0.0271
111	3.640	1819.19	0.0312
112	3.657	1827.71	0.0609
113	3.669	1833.70	0.0606
114	3.686	1842.12	0.0295
115	5.739	2868.60	0.1002
116	7.270	3633.75	0.6646

Table of Assignments
No.	Atom	Exp. Shift (ppm)	Multiplet
1	37	0.804	M06
2	23	1.020	M07
3	24	1.020	M07
4	31	1.020	M07
5	21	1.020	M07
6	42	1.206	M08
7	26	1.400	M09
8	29	1.400	M09
9	33	1.400	M09
10	27	1.642	M10
11	30	1.642	M10
12	22	1.642	M10
13	40	1.642	M10
14	25	1.866	M05
15	32	1.866	M05
16	41	2.071	M04
17	34	2.071	M04
18	45	2.357	M03
19	35	2.357	M03
20	28	3.663	M02
21	47	5.739	M01

Table of Multiplets
No.	Shift1 (ppm)	Hs	Type	Atom1	Multiplet1	 (ppm)
1	0.804	3	s	18	M06	0.771 .. 0.832
2	1.020	4	m	4a 6 10 2a	M07	0.889 .. 1.154
3	1.206	3	s	21	M08	1.163 .. 1.240
4	1.400	3	m	5 9 8	M09	1.254 .. 1.524
5	1.642	4	m	5 9 3a 16	M10	1.533 .. 1.770
6	1.866	2	m	6 10	M05	1.805 .. 1.916
7	2.071	2	m	16 8	M04	2.002 .. 2.158
8	2.357	4	m	15 11	M03	2.238 .. 2.493
9	3.663	1	m	7	M02	3.614 .. 3.708
10	5.739	1	s	13	M01	5.700 .. 5.770
